央视卫视,#genre#
NBA 勇士VS国王 全场回放（英文原声） 09:45,http://156.238.248.80:8880/play/176.675951.m3u8
NBA 快船VS独行侠 全场回放（徐秦威） 10:25,http://156.238.248.80:8880/play/177.624837.m3u8
NBA 快船VS独行侠 全场回放（英文原声） 10:25,http://156.238.248.80:8880/play/178.625345.m3u8
NBA 湖人VS雷霆 全场回放（杨健、李根、苏群、佳依） 10:25,http://156.238.248.80:8880/play/179.603988.m3u8
NBA 湖人VS雷霆 全场回放（郑泽鹏） 10:25,http://156.238.248.80:8880/play/180.828629.m3u8
NBA 湖人VS雷霆 全场回放（英文原声） 10:25,http://156.238.248.80:8880/play/181.695007.m3u8
NBA 太阳VS火箭 全场回放（连睿、马健、周鹏、秋童） 10:55,http://156.238.248.80:8880/play/182.771431.m3u8
NBA 太阳VS火箭 全场回放（英文原声） 10:55,http://156.238.248.80:8880/play/183.580414.m3u8
WTT 杨惠泽晋级正赛 李和宸3-2关文皓 全场回放（肖扬） 11:00,http://156.238.248.80:8880/play/184.597080.m3u8
WTT 杨惠泽晋级正赛 李和宸3-2关文皓 全场回放（一号桌） 11:00,http://156.238.248.80:8880/play/185.756622.m3u8
WTT 杨惠泽晋级正赛 李和宸3-2关文皓 全场回放（二号桌） 11:00,http://156.238.248.80:8880/play/186.855205.m3u8
WTT 杨惠泽晋级正赛 李和宸3-2关文皓 全场回放（三号桌） 11:00,http://156.238.248.80:8880/play/187.771299.m3u8
亚洲攀岩锦标赛 亚洲攀岩锦标赛暨名古屋亚运会资格赛day1 2026亚洲攀岩锦标赛暨名古屋亚运会资格赛day1全场回放（官方解说）（一） 09:30,http://156.238.248.80:8880/play/188.923791.m3u8
亚洲攀岩锦标赛 亚洲攀岩锦标赛暨名古屋亚运会资格赛day1 2026亚洲攀岩锦标赛暨名古屋亚运会资格赛day1全场回放（官方解说）（二） 09:30,http://156.238.248.80:8880/play/189.290556.m3u8
亚洲攀岩锦标赛 亚洲攀岩锦标赛暨名古屋亚运会资格赛day1 2026亚洲攀岩锦标赛暨名古屋亚运会资格赛day1全场回放（官方解说）（三） 09:30,http://156.238.248.80:8880/play/190.587729.m3u8
亚女U20 日本女足U20VS澳大利亚女足U20 全场回放（兰子非） 16:45,http://156.238.248.80:8880/play/191.898839.m3u8
亚女U20 中国台北女足U20VS印度女足U20 全场回放（胡小凡） 16:45,http://156.238.248.80:8880/play/192.963081.m3u8
斯诺克 蓝裕豪一阶段8-1 刘文炜1-6落后 【回放】蓝裕豪8-1恰查蓬·纳萨（第一阶段）（乔迁） 17:00,http://156.238.248.80:8880/play/193.594928.m3u8
斯诺克 蓝裕豪一阶段8-1 刘文炜1-6落后 【回放】蓝裕豪8-1恰查蓬·纳萨（第一阶段）（赛场原声） 17:00,http://156.238.248.80:8880/play/194.454473.m3u8
斯诺克 蓝裕豪一阶段8-1 刘文炜1-6落后 【回放】赵翰洋7-2马哈茂德·埃尔·哈雷迪（第一阶段）（赛场原声） 17:00,http://156.238.248.80:8880/play/195.158793.m3u8
斯诺克 蓝裕豪一阶段8-1 刘文炜1-6落后 【回放】刘文炜1-6马克·劳埃德（第一阶段）（赛场原声） 17:00,http://156.238.248.80:8880/play/196.787718.m3u8
斯诺克 蓝裕豪一阶段8-1 刘文炜1-6落后 【回放】哈特姆·雅辛2-5弗盖尔·奎因（第一阶段）（赛场原声） 17:00,http://156.238.248.80:8880/play/197.399981.m3u8
斯诺克 蓝裕豪一阶段8-1 刘文炜1-6落后 【回放】法拉赫·阿贾布3-6乌姆特·迪克梅（第一阶段）（赛场原声） 17:00,http://156.238.248.80:8880/play/198.755794.m3u8
斯诺克 蓝裕豪一阶段8-1 刘文炜1-6落后 【回放】利亚姆·海菲尔德7-2奥利弗·布朗（第一阶段）（赛场原声） 17:00,http://156.238.248.80:8880/play/199.106523.m3u8
斯诺克 蓝裕豪一阶段8-1 刘文炜1-6落后 【回放】大卫·格雷斯1-7阿什利·休吉尔（第一阶段）（赛场原声） 17:00,http://156.238.248.80:8880/play/200.848175.m3u8
斯诺克 蓝裕豪一阶段8-1 刘文炜1-6落后 【回放】海顿·平尼4-5杰米·克拉克（第一阶段）（赛场原声） 17:00,http://156.238.248.80:8880/play/201.553018.m3u8
亚冠二级 大阪钢巴VS曼谷联 全场回放 17:45,http://156.238.248.80:8880/play/202.240642.m3u8
亚冠二级 大阪钢巴VS曼谷联 全场回放（刘洋） 17:45,http://156.238.248.80:8880/play/203.854695.m3u8
WTA 奥斯塔彭科横扫晋级 小米拉速胜 【回放】波塔波娃2-0张帅（胡力涛） 18:00,http://156.238.248.80:8880/play/204.146543.m3u8
WTA 奥斯塔彭科横扫晋级 小米拉速胜 【回放】波塔波娃2-0张帅（赛场原声） 18:00,http://156.238.248.80:8880/play/205.323320.m3u8
WTA 奥斯塔彭科横扫晋级 小米拉速胜 【回放】加尔菲（退赛）0-0科斯蒂亚（赛场原声） 18:00,http://156.238.248.80:8880/play/206.245251.m3u8
WTA 奥斯塔彭科横扫晋级 小米拉速胜 【回放】安德列娃2-0斯蒂文斯（赛场原声） 18:00,http://156.238.248.80:8880/play/207.571831.m3u8
WTA 奥斯塔彭科横扫晋级 小米拉速胜 【回放】奥斯塔彭科2-1伊埃拉（赛场原声） 18:00,http://156.238.248.80:8880/play/208.276504.m3u8
WTA 奥斯塔彭科横扫晋级 小米拉速胜 【回放】鲁塞2-1雅斯特雷姆斯卡（赛场原声） 18:00,http://156.238.248.80:8880/play/209.161229.m3u8
WTA 奥斯塔彭科横扫晋级 小米拉速胜 【回放】波塔波娃2-0张帅（英文原声） 18:00,http://156.238.248.80:8880/play/210.224487.m3u8
WTA 奥斯塔彭科横扫晋级 小米拉速胜 【回放】安德列娃2-0斯蒂文斯（英文原声） 18:00,http://156.238.248.80:8880/play/211.794261.m3u8
WTA 奥斯塔彭科横扫晋级 小米拉速胜 【回放】加尔菲（退赛）0-0科斯蒂亚（英文原声） 18:00,http://156.238.248.80:8880/play/212.767727.m3u8
WTA 奥斯塔彭科横扫晋级 小米拉速胜 【回放】奥斯塔彭科2-0伊埃拉（英文原声） 18:00,http://156.238.248.80:8880/play/213.516233.m3u8
WTA 奥斯塔彭科横扫晋级 小米拉速胜 【回放】鲁塞2-1雅斯特雷姆斯卡（英文原声） 18:00,http://156.238.248.80:8880/play/214.391796.m3u8
WCBA 江苏南钢VS四川蜀道远达 全场回放（现场解说） 19:25,http://156.238.248.80:8880/play/215.994221.m3u8
WCBA 江苏南钢VS四川蜀道远达 全场回放（原声） 19:25,http://156.238.248.80:8880/play/216.225161.m3u8
CBA 宁波町渥VS上海久事 不惯外援臭毛病！贝兹利发球怒推队友+大骂辛普森 宁波队赛后立马解约 19:35,http://156.238.248.80:8880/play/217.730764.m3u8
WCBA 新疆天山VS山西竹叶青酒 全场回放（现场解说） 19:55,http://156.238.248.80:8880/play/218.942938.m3u8
WCBA 新疆天山VS山西竹叶青酒 全场回放（原声） 19:55,http://156.238.248.80:8880/play/219.638820.m3u8
亚女U20 朝鲜女足U20VS韩国女足U20 全场回放 20:45,http://156.238.248.80:8880/play/220.907927.m3u8
亚女U20 朝鲜女足U20VS韩国女足U20 全场回放（刘畅） 20:45,http://156.238.248.80:8880/play/221.426479.m3u8
亚女U20 乌兹别克斯坦女足U20VS约旦女足U20 全场回放（沈云怡） 20:45,http://156.238.248.80:8880/play/222.841898.m3u8
斯诺克 白雨露2-7霍尔特 王信伯、高阳领先 【回放】迈克尔·霍尔特7-2白雨露（第一阶段）（朱峰立） 21:40,http://156.238.248.80:8880/play/223.414417.m3u8
斯诺克 白雨露2-7霍尔特 王信伯、高阳领先 【回放】迈克尔·霍尔特7-2白雨露（第一阶段）（赛场原声） 21:40,http://156.238.248.80:8880/play/224.522213.m3u8
斯诺克 白雨露2-7霍尔特 王信伯、高阳领先 【回放】巩晨智4-4罗比·麦圭根（第一阶段）（赛场原声） 21:40,http://156.238.248.80:8880/play/225.636414.m3u8
斯诺克 白雨露2-7霍尔特 王信伯、高阳领先 【回放】尤里安·博伊科2-7王信伯（第一阶段）（赛场原声） 21:40,http://156.238.248.80:8880/play/226.608639.m3u8
斯诺克 白雨露2-7霍尔特 王信伯、高阳领先 【回放】马克·戴维斯3-6高阳（第一阶段）（赛场原声） 21:40,http://156.238.248.80:8880/play/227.453184.m3u8
斯诺克 白雨露2-7霍尔特 王信伯、高阳领先 【回放】斯科特·唐纳森3-6彼得·莱恩斯（第一阶段）（赛场原声） 21:40,http://156.238.248.80:8880/play/228.800506.m3u8
斯诺克 白雨露2-7霍尔特 王信伯、高阳领先 【回放】杜安·琼斯4-3莱昂内·克劳利（第一阶段）（赛场原声） 21:40,http://156.238.248.80:8880/play/229.399505.m3u8
斯诺克 白雨露2-7霍尔特 王信伯、高阳领先 【回放】林杉峰3-5米哈乌·苏巴尔奇克（第一阶段）（赛场原声） 21:40,http://156.238.248.80:8880/play/230.692800.m3u8
斯诺克 白雨露2-7霍尔特 王信伯、高阳领先 【回放】大卫·利利3-6姚朋成（第一阶段）（赛场原声） 21:40,http://156.238.248.80:8880/play/231.197936.m3u8
WTA 波塔波娃VS张帅 全场回放（胡力涛） 18:00,http://156.238.248.80:8880/play/232.731085.m3u8
WTA 波塔波娃VS张帅 全场回放（赛场原声） 18:00,http://156.238.248.80:8880/play/233.211582.m3u8
体育-今天,#genre#
斯诺克 17岁蓝裕豪10-5晋级 错失最年轻147 【回放】法拉赫·阿贾布7-10乌姆特·迪克梅（第二阶段）（赛场原声） 02:00,http://156.238.248.80:8880/play/234.535379.m3u8
斯诺克 17岁蓝裕豪10-5晋级 错失最年轻147 【回放】蓝裕豪10-5恰查蓬·纳萨（第二阶段）（赛场原声） 02:00,http://156.238.248.80:8880/play/235.829044.m3u8
斯诺克 17岁蓝裕豪10-5晋级 错失最年轻147 【回放】赵翰洋10-3马哈茂德·埃尔·哈雷迪（第二阶段）（赛场原声） 02:00,http://156.238.248.80:8880/play/236.403584.m3u8
斯诺克 17岁蓝裕豪10-5晋级 错失最年轻147 【回放】刘文炜3-10马克·劳埃德（第二阶段）（赛场原声） 02:00,http://156.238.248.80:8880/play/237.215135.m3u8
斯诺克 17岁蓝裕豪10-5晋级 错失最年轻147 【回放】利亚姆·海菲尔德10-4奥利弗·布朗（第二阶段）（赛场原声） 02:00,http://156.238.248.80:8880/play/238.141606.m3u8
斯诺克 17岁蓝裕豪10-5晋级 错失最年轻147 【回放】哈特姆·雅辛4-10弗盖尔·奎因（第二阶段）（赛场原声） 02:00,http://156.238.248.80:8880/play/239.844707.m3u8
斯诺克 17岁蓝裕豪10-5晋级 错失最年轻147 【回放】大卫·格雷斯4-10阿什利·休吉尔（第二阶段）（赛场原声） 02:00,http://156.238.248.80:8880/play/240.163720.m3u8
斯诺克 17岁蓝裕豪10-5晋级 错失最年轻147 【回放】海顿·平尼5-10杰米·克拉克（第二阶段）（赛场原声） 02:00,http://156.238.248.80:8880/play/241.586035.m3u8
NBA 骑士VS老鹰 全场回放（姜帆、周赫） 06:55,http://156.238.248.80:8880/play/242.784844.m3u8
NBA 骑士VS老鹰 全场回放（英文原声） 06:55,http://156.238.248.80:8880/play/243.971756.m3u8
NBA 魔术VS森林狼 全场回放（刘圳展） 06:55,http://156.238.248.80:8880/play/244.561743.m3u8
NBA 魔术VS森林狼 全场回放（英文原声） 06:55,http://156.238.248.80:8880/play/245.918217.m3u8
NBA 掘金VS灰熊 蔡凯臣 08:55,http://156.238.248.80:8880/play/246.493803.m3u8
NBA 掘金VS灰熊 英文原声 08:55,http://156.238.248.80:8880/play/247.261468.m3u8
NBA 马刺VS开拓者 连睿 李根 秋童 09:15,http://156.238.248.80:8880/play/248.761124.m3u8
NBA 马刺VS开拓者 王晓晨 09:25,http://156.238.248.80:8880/play/249.206404.m3u8
NBA 马刺VS开拓者 邢晨 09:25,http://156.238.248.80:8880/play/250.686421.m3u8
NBA 马刺VS开拓者 英文原声 09:25,http://156.238.248.80:8880/play/251.816489.m3u8
NBA 马刺VS开拓者 智能字幕 09:15,http://156.238.248.80:8880/play/252.257486.m3u8
NBA 快船VS雷霆 孙博 曾令旭 裴优 09:45,http://156.238.248.80:8880/play/253.601389.m3u8
NBA 快船VS雷霆 英文原声 09:55,http://156.238.248.80:8880/play/254.360801.m3u8
NBA 太阳VS独行侠 李天宇 陈正昊 廖昕阳 09:45,http://156.238.248.80:8880/play/255.150241.m3u8
NBA 太阳VS独行侠 英文原声 09:55,http://156.238.248.80:8880/play/256.298196.m3u8
NBA 太阳VS独行侠 智能字幕 09:45,http://156.238.248.80:8880/play/257.480948.m3u8
英超青年杯 北京男足选拔队vs阿森纳 赛场原声 09:50,http://156.238.248.80:8880/play/258.789328.m3u8
英超青年杯 阿斯顿维拉vs石家庄功夫 赛场原声 09:50,http://156.238.248.80:8880/play/259.184835.m3u8
WTT 黄石组合打头阵 陈垣宇/向鹏冲8强 刘馨蕊 10:30,http://156.238.248.80:8880/play/260.726523.m3u8
WTT 黄石组合打头阵 陈垣宇/向鹏冲8强 3D全真视频 10:30,http://156.238.248.80:8880/play/261.232667.m3u8
WTT 黄石组合打头阵 陈垣宇/向鹏冲8强 2号桌 10:30,http://156.238.248.80:8880/play/262.140965.m3u8
WTT 黄石组合打头阵 陈垣宇/向鹏冲8强 3号桌 10:30,http://156.238.248.80:8880/play/263.681170.m3u8
WTT 黄石组合打头阵 陈垣宇/向鹏冲8强 4号桌 10:30,http://156.238.248.80:8880/play/264.194857.m3u8
WTT 黄石组合打头阵 陈垣宇/向鹏冲8强 1号桌 10:30,http://156.238.248.80:8880/play/265.793853.m3u8
亚洲攀岩锦标赛 亚洲攀岩锦标赛暨名古屋亚运会资格赛day2 解说 12:00,http://156.238.248.80:8880/play/266.313355.m3u8
英超青年杯 狼队vs上海申花 赛场原声 14:50,http://156.238.248.80:8880/play/267.911239.m3u8
英超青年杯 中国香港精英队vs浙江FC 赛场原声 14:50,http://156.238.248.80:8880/play/268.957743.m3u8
羽毛球亚锦赛 冲击8强！梁王、星驰组合领衔出战 CCTV5+ 16:00,http://156.238.248.80:8880/play/269.350218.m3u8
WTT 石油组合迎内战 石洵瑶、向鹏轮番登场 凌维康 17:00,http://156.238.248.80:8880/play/270.550676.m3u8
WTT 石油组合迎内战 石洵瑶、向鹏轮番登场 3D全真视频 17:00,http://156.238.248.80:8880/play/271.798273.m3u8
WTT 石油组合迎内战 石洵瑶、向鹏轮番登场 1号桌 17:00,http://156.238.248.80:8880/play/272.433539.m3u8
WTT 石油组合迎内战 石洵瑶、向鹏轮番登场 2号桌 17:00,http://156.238.248.80:8880/play/273.694728.m3u8
WTT 石油组合迎内战 石洵瑶、向鹏轮番登场 3号桌 17:00,http://156.238.248.80:8880/play/274.698065.m3u8
斯诺克 江俊、米尔金斯出战 1号桌 17:00,http://156.238.248.80:8880/play/275.882048.m3u8
斯诺克 江俊、米尔金斯出战 朱峰立 17:00,http://156.238.248.80:8880/play/276.799111.m3u8
