分类: 📡卫视频道, 名称: 河北卫视, 有效: 24, IPv4: 138, IPv6: 0, 最小延迟: 46 ms, 最高速率: 97.97 M/s, 平均速率: 33.50 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 河南卫视, 有效: 28, IPv4: 160, IPv6: 0, 最小延迟: 53 ms, 最高速率: 95.43 M/s, 平均速率: 26.17 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 22, IPv4: 129, IPv6: 0, 最小延迟: 49 ms, 最高速率: 105.54 M/s, 平均速率: 23.89 M/s, 最高分辨率: 3840x2160, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 29, IPv4: 163, IPv6: 0, 最小延迟: 41 ms, 最高速率: 121.25 M/s, 平均速率: 25.87 M/s, 最高分辨率: 3840x2160, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 江西卫视, 有效: 28, IPv4: 155, IPv6: 0, 最小延迟: 46 ms, 最高速率: 118.14 M/s, 平均速率: 28.99 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 26, IPv4: 146, IPv6: 0, 最小延迟: 48 ms, 最高速率: 109.71 M/s, 平均速率: 25.51 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 14, IPv4: 73, IPv6: 0, 最小延迟: 50 ms, 最高速率: 106.54 M/s, 平均速率: 48.33 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: mpeg2video, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 17, IPv4: 94, IPv6: 0, 最小延迟: 45 ms, 最高速率: 123.43 M/s, 平均速率: 38.17 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 青海卫视, 有效: 17, IPv4: 112, IPv6: 0, 最小延迟: 49 ms, 最高速率: 106.30 M/s, 平均速率: 39.78 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: mpeg2video, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 山东卫视, 有效: 25, IPv4: 134, IPv6: 0, 最小延迟: 46 ms, 最高速率: 113.46 M/s, 平均速率: 35.54 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 山西卫视, 有效: 13, IPv4: 65, IPv6: 0, 最小延迟: 49 ms, 最高速率: 102.62 M/s, 平均速率: 40.37 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 14, IPv4: 77, IPv6: 0, 最小延迟: 50 ms, 最高速率: 103.45 M/s, 平均速率: 36.25 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.14, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 四川卫视, 有效: 24, IPv4: 159, IPv6: 0, 最小延迟: 47 ms, 最高速率: 108.75 M/s, 平均速率: 38.38 M/s, 最高分辨率: 3840x2160, 平均帧率: 25.00, 视频编解码器: mpeg2video, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 29, IPv4: 160, IPv6: 0, 最小延迟: 50 ms, 最高速率: 109.88 M/s, 平均速率: 27.01 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
